pid,label,principal_link,additional_link,description,creators,contact_information,facebook,twitter,instagram,status,order,layout,collection,thumbnail,full
obj003,AMBOS Project,http://www.ambosproject.com/7,,"AMBOS Project started as a month long activation at the San Ysidro border crossing in Tijuana, but has evolved its focus to record and paint a picture of what life looks like along the length of the US/Mexico border for those who are unfamiliar with the realities that take place there. Through the different phases of the project, AMBOS has fostered a greater sense of interconnectedness in the border regions it has visited. AMBOS as a project has become multi-faceted. It is part documentation of the border, part collaboration with artists, part community activism, part exploration of identities influenced by the liminal zone of the borderlands. By connecting with local artists, activists, and makers in the border region, AMBOS is working to capture an accurate representation of the sister cities and communities on both sides. In making community-based art, AMBOS also functions as an emotional thermometer to gauge the health of policy and transnational relationships in each community. AMBOS seeks to generate healthier cross-border relationships between communities and governmental bodies by raising awareness of issues and opinion in the border region and amplifying them to an international audience. Through these efforts, AMBOS recontextualizes and calls attention to the importance and lack of accessibility at US borders. Using craft and art as a vehicle for community self-care, this project is aimed at humanizing the act of border crossing. ",Tanya Aguiniga,ambosproject@gmail.com,https://www.facebook.com/ambosproject/,https://twitter.com/AmbosProject,,active,002,united_item,united,img/derivatives/simple/obj003/thumbnail.jpg,img/derivatives/simple/obj003/full.jpg
obj032,Delis Negron Digital Archive,https://recoveryprojectapp.wixsite.com/negrondigitalarchive,https://www.facebook.com/PALABRASporDelisNegron/,"The Delis Negron personal archive captures the life and legacy of the Puerto Rican writer born in 1901, who was also director, editor, poet, writer, English professor and activist throughout his residency in south Texas and Mexico City during the twentieth century. The digital collection incorporates his personal archive and familial memory as resources for recovering part of his legacy.","Recovering the US Hispanic Literary Heritage, Sylvia Fernandez, Isis Campos, Annette Zapata, Victoria Moreno",recovery@uh.edu,,,,active,031,united_item,united,img/derivatives/simple/obj032/thumbnail.jpg,img/derivatives/simple/obj032/full.jpg
obj033,Dentimundo -Dentistas en la Frontera / Dentists on the Border Mexico /U.S.A.,http://www.dentimundo.com/ ,https://www.marktribe.net/tijuana-calling/dentimundo/,"Dentimundo.com is a multimedia documentary of this micro-economy between the U.S. and Mexico that investigates border dentistry while also presenting users with a directory of dentist clinics along the border. Dentimundo is a new online directory of Mexican dentists on the border with the United States.El Progresso, Ojinaga, Juarez, Nogales, Mexicali, Tijuana, are all Mexican towns or cities that sit on the edge of the United States. These are border sites that have established a direct simbiotic relationship with the U.S. economy by providing a variety of services to U.S. citizenry and attracting U.S. dollars. Dentist clinics are as prominent as three for a dollar tacos, margarita specials and Mexican panchos. What deficits in the U.S. health system is causing this outflow to Mexico? How do the dentists on each side of the border view one another? Where do U.S. citizens prefer to have their teeth cleaned and why? These are just a few of the questions that come to mind when considering the immense quantity of Mexican dentists along the Mexico/United States border.",Ricardo Miranda Zuniga,,,,,inactive,032,united_item,united,img/derivatives/simple/obj033/thumbnail.jpg,img/derivatives/simple/obj033/full.jpg
obj027,Coahuila Enciclopedia Digital,http://proyectosavada.com/coahuila/,http://bibliotecadigitalcoahuila.gob.mx/,"The Coahuila Digital Library is a toolbox where teachers and students find relevant educational material for the development of their educational practice. The site contains interactive animations, multimedia objects and bibliographic material in electonic format. Another resource is the Virtual Public Library which is a digital toolbox where teachers, students and the general public will access useful digital materials for the development of their daily activities whether they are of a professional educational, cultural or personal nature.",Coahuila Gobierno del Estado,,https://www.facebook.com/BibliotecaCoahuila/,https://twitter.com/BiblioCoahuila,,active,026,united_item,united,img/derivatives/simple/obj027/thumbnail.jpg,img/derivatives/simple/obj027/full.jpg
obj031,Delimitations: A Survey of the 1821 United States-Mexico Border,https://delimitationsblog.tumblr.com/,https://www.mcasd.org/exhibitions/delimitations-survey-1821-united-states-mexico-border,"Delimitations is the first attempt to draw the border between Mexico and the United States from 1821 to 1847. It is a collective and nomadic artistic-community work carried out by Marco Ramirez, Erre, Richard Taylor, and Jose Inerzia. Although the blog that initially introduced the process is temporarily disabled, the coordinates in GPS can be viewed through a KMZ file (Google Earth).",Marcos Ramirez ERRE & David Taylor,,,,,active,030,united_item,united,img/derivatives/simple/obj031/thumbnail.jpg,img/derivatives/simple/obj031/full.jpg
obj025,Chicano/a Research Collection,https://libguides.asu.edu/chicanocollection/welcome,,"Archival repository that preserves Chicano/a and Mexican American history in Arizona and the Southwest. Since 1970, they have compiled a distinguished collection of manuscripts, photographs, books, newspapers, and ephemera. Today, they continue to acquire primary and secondary sources that complement the instructional and research needs of the ASU community and the general public.","Arizona State University, Nancy Godoy",Nancy.Godoy@asu.edu,https://www.facebook.com/ChicanoCollection,https://twitter.com/ASUChicano,,active,024,united_item,united,img/derivatives/simple/obj025/thumbnail.jpg,img/derivatives/simple/obj025/full.jpg
obj019,Borderlands: Dispatches from the U.S.-Mexico Boundary,https://www.npr.org/series/291397809/borderland-dispatches-from-the-u-s-mexico-boundary,,"Steve Inskeep and a team of NPR journalists traveled the 1,900-mile length of the U.S.-Mexico border to report on the people, goods and culture that cross the heavily-fortified boundary. NPR News presents the dispatches and related coverage as the multipart series Borderland, exploring major issues such as immigration, the drug trade, business and cultural change through the personal stories of people who live where the countries meet.","National Public Radio (NPR), Kansas Public Radio, The University of Kansas, Steve Inskeep",,,https://twitter.com/NPRinskeep,,active,018,united_item,united,img/derivatives/simple/obj019/thumbnail.jpg,img/derivatives/simple/obj019/full.jpg
obj018,Borderlands Project,https://kristaschlyer.com/borderlands-2/,,"Over the past eight years, Schlyeras work has focused heavily on documenting the US-Mexico borderlands and the changes brought about by US border and immigration policy. This project has included leading a 17-member expedition along the entire 2,000-mile border with fellow photographers in the International League of Conservation Photographers. Schlyer curated a traveling exhibit from that expedition that has shown throughout the United States, including shows in the US House and Senate. This project included a book about the borderlands titled Continental Divide: Wildlife, People and the Border Wall, which has received national recognition, including the National Outdoor Book Award for 2013 and the Best of the Best of university presses honor from the American Library Association.",Krysta Schlyer,kris_schly@yahoo.com,https://www.facebook.com/BorderlandsProject/,https://twitter.com/kristaschlyer,,active,017,united_item,united,img/derivatives/simple/obj018/thumbnail.jpg,img/derivatives/simple/obj018/full.jpg
obj024,California Digital Newspaper Collection,https://cdnc.ucr.edu/cgi-bin/cdnc,,"The California Digital Newspaper Collection contains over 1,500,000 pages of significant historical California newspapers published from 1846-present, including the first California newspaper, the Californian, and the first daily California newspaper, the Daily Alta California. It also contains issues of several current California newspapers that are part of a project to preserve and provide access to contemporary papers.","California Digital Newspaper Collection. Center for Bibliographic Studies and Research. University of California, Riverside.  California State Library",cdnc@cbsr.ucr.edu.,https://www.facebook.com/California-Digital-Newspaper-Collection-144681682251513/,,,active,023,united_item,united,img/derivatives/simple/obj024/thumbnail.jpg,img/derivatives/simple/obj024/full.jpg
obj030,DACAmented: DREAMS without Borders - Digital Storytelling Project,https://lizbethdelacruzsantana.com/mural-project,,"This political advocacy project is dedicated to elaborate a bilingual digital archive on Childhood Arrivals, Deferred Action for Childhood Arrivals (DACA) beneficiaries and their immediate family and friends through Digital Storytelling. By implementing the methodology, the archive hosts videos of two to five minutes in length narrated in the first person and elaborated by participants. The intention is to give agency to the participants and to allow them to construct an image of this specific group. Equally important, the archive aims to contribute qualitative information and enhance public debate and policy through the testimonies centered on the experiences of DACA recipients.","UC Davis, Lizbeth De La Cruz Santana",ldsdelacruz@ucdavis.edu,https://www.facebook.com/pg/dacamentedproject/about/?ref=page_internal,https://twitter.com/DACAmented_dst,,active,029,united_item,united,img/derivatives/simple/obj030/thumbnail.jpg,img/derivatives/simple/obj030/full.jpg
